country,continent,population,total_cases,total_deaths,infection_rate,death_rate
Kazakhstan,Asia,18776707,451641,3479,2.41,0.77
Kenya,Africa,53771300,172639,3308,0.32,1.92
Kiribati,Oceania,119446,2,0,0.0,0.0
Kosovo,Europe,1932774,107099,2250,5.54,2.1
Kuwait,Asia,4270563,318676,1798,7.46,0.56
Kyrgyzstan,Asia,6524191,107335,1852,1.65,1.73
Laos,Asia,7275556,1968,3,0.03,0.15
Latvia,Europe,1886202,134888,2413,7.15,1.79
Lebanon,Asia,6825442,541628,7769,7.94,1.43
Lesotho,Africa,2142252,10837,326,0.51,3.01
Liberia,Africa,5057677,2290,88,0.05,3.84
Libya,Africa,6871287,187685,3146,2.73,1.68
Liechtenstein,Europe,38137,3022,58,7.92,1.92
Lithuania,Europe,2722291,276543,4309,10.16,1.56
Luxembourg,Europe,625976,70256,818,11.22,1.16
Macao,Asia,649342,0,0,0.0,0.0
Madagascar,Africa,27691019,41742,866,0.15,2.07
Malawi,Africa,19129955,34403,1157,0.18,3.36
Malaysia,Asia,32365998,622086,3460,1.92,0.56
Maldives,Asia,540542,68502,187,12.67,0.27
Mali,Africa,20250834,14302,519,0.07,3.63
Malta,Europe,441539,30571,419,6.92,1.37
Marshall Islands,Oceania,59194,4,0,0.01,0.0
Mauritania,Africa,4649660,19853,470,0.43,2.37
Mauritius,Africa,1271767,1458,18,0.11,1.23
Mexico,North America,128932753,2434562,228838,1.89,9.4
Micronesia (country),Oceania,115021,1,0,0.0,0.0
Moldova,Europe,4033963,255501,6137,6.33,2.4
Monaco,Europe,39244,2508,33,6.39,1.32
Mongolia,Asia,3278292,67710,318,2.07,0.47
Montenegro,Europe,628062,99834,1594,15.9,1.6
Montserrat,North America,4999,0,0,0.0,0.0
Morocco,Africa,36910558,521530,9181,1.41,1.76
Mozambique,Africa,31255435,71145,838,0.23,1.18
Myanmar,Asia,54409794,144456,3227,0.27,2.23
Namibia,Africa,2540916,59092,920,2.33,1.56
Nauru,Oceania,10834,0,0,0.0,0.0
Nepal,Asia,29136808,591494,7990,2.03,1.35
